Run Number: 528 Desired Peak Position: 78.355
Module   Target HV   Stat   ErrStat   Peak Pos   ErrPPos   Peak Width   ErrPWid   NGoodEvents    Flag 
  242     7131.33      163.19        8.85        0.10        2.42        0.07     4125.00   2043.3446        Good
  243     6555.63      104.37       14.96        0.19        6.05        0.15     9082.00   1543.9935        Good
  244     5730.23       93.38       15.75        0.18        5.67        0.12     7933.00   2417.0669        Good
  245     7229.45      103.92       15.74        0.14        5.41        0.09     9638.00   1853.4549        Good
  246     7393.36      106.58       15.55        0.16        5.79        0.11    10363.00   2398.3373        Good
  247     8946.23      114.92       16.22        0.13        5.70        0.09    12330.00   2430.3626        Good
  248     8704.94      118.45       15.33        0.12        5.09        0.08    10750.00   1497.1047        Good
  249     7167.26      106.77       14.78        0.13        5.07        0.09     8500.00   1551.1700        Good
  250     4467.08       80.95       17.12        0.18        5.57        0.12     5994.00   1513.3708        Good
  251     4728.43       84.20       14.96        0.17        5.80        0.13     6656.00   1548.1855        Good
  252     4126.53      113.11       13.27        0.16        4.33        0.16     4750.00   1598.6105        Good
  253     5976.89      110.48       12.71        0.14        4.71        0.10     7177.00   1514.5760        Good
  254     4989.51       91.93       15.78        0.16        4.90        0.11     5971.00   1455.2491        Good
  255     7002.59      105.72       15.36        0.14        5.14        0.09     8684.00   1482.5051        Good
  256     6454.62      100.76       15.19        0.13        5.04        0.09     8031.00   2135.4661        Good
  257     7311.84      108.89       15.24        0.13        5.06        0.09     9057.00   1728.6143        Good
  258     8705.52      117.38       15.28        0.12        5.05        0.08    10339.00   1883.0360        Good
  259     9205.40      114.73       16.13        0.14        5.62        0.09    11928.00   2041.8343        Good
  260     6844.98      105.93       15.92        0.13        5.15        0.10     8555.00   1495.7590        Good
  261     7285.47      106.91       15.22        0.12        4.60        0.07     8089.00   1483.7103        Good
  262     5407.08       93.34       15.21        0.14        5.10        0.10     6746.00   1497.1223        Good
  263     4331.08       86.07       14.61        0.16        5.02        0.12     5379.00   1465.6793        Good
  264     3156.57       74.12       14.05        0.22        5.61        0.18     4376.00   1667.6298        Good
  265     5209.99       92.31       15.37        0.17        5.14        0.12     6183.00   1487.8754        Good
  266     4896.32       87.51       15.91        0.16        4.99        0.10     5919.00   1480.0671        Good
  267     5279.57       90.79       15.38        0.14        4.90        0.09     6417.00   1491.1268        Good
  268     4929.95       86.51       16.10        0.16        5.32        0.11     6285.00   2169.7430        Good
  269     5300.58       88.95       16.45        0.17        5.47        0.12     6753.00   1734.2080        Good
  270     4833.09       88.16       15.51        0.18        5.90        0.13     7106.00   2299.6493        Good
  271     5266.88       86.00       17.48        0.27        7.34        0.21     7945.00   2140.5070        Good
  272     4625.10       87.72       14.83        0.15        4.65        0.10     5237.00   1469.6090        Good
  273     4882.16       86.62       16.59        0.17        5.40        0.12     6194.00   1478.1172        Good
  274     4153.90       80.88       15.55        0.16        4.88        0.10     5052.00   1517.5140        Good
  275     3128.49       71.08       15.31        0.19        5.17        0.13     3996.00   1478.1876        Good
  276     1876.39       50.01       16.82        0.31        6.97        0.25     3029.00   1553.3842        Good
  277     2335.01       55.28       17.42        0.27        6.68        0.20     3793.00   1613.6465        Good
  278     2595.88       60.14       17.03        0.23        5.86        0.16     3666.00   1555.9511        Good
  279     2384.97       56.89       18.36        0.28        6.54        0.20     3663.00   1544.9201        Good
  280     2845.21       59.88       17.84        0.21        6.21        0.14     4488.00   2082.3958        Good
  281     2919.08       64.34       17.54        0.21        5.86        0.15     4285.00   1914.6179        Good
  282     3307.92       66.59       16.84        0.22        6.20        0.15     4823.00   2481.0571        Good
  283   171552.10    99843.78      -89.64        5.69        4.40        1.30     5356.00        -nan        Good
  284        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  285     2320.71       56.27       17.42        0.29        6.99        0.23     3864.00   1510.3887        Good
  286     1948.50       50.83       17.97        0.29        6.48        0.21     3117.00   1507.8097        Good
  287     1494.48       39.49       20.09        0.36        8.02        0.26     2945.00   1560.9716        Good
